数据时间,车辆状态,累计里程,总电压,总电流,电池单体电压最高值,电池单体电压最低值,最高温度值,最低温度值,可充电储能子系统各温度探针检测到的温度值,可充电储能装置电压,可充电储能装置电流,单体电池电压,驾驶习惯,充电量
2022-03-19 05:04:28,2.0,318762.0,358.59,-85.057,3.995,3.964,32.168,29.611,30.696,358.59,-85.057,3.982,7.731,61.456
2022-03-19 05:28:18,2.0,306544.5,360.302,-80.912,4.02,3.98,29.602,26.992,28.204,360.302,-80.912,4.007,7.743,57.089
2022-03-19 05:55:28,2.0,251139.8,359.098,-84.763,4.005,3.973,31.055,28.797,29.966,359.098,-84.763,3.989,7.704,59.818
2022-03-19 06:02:58,2.415,362327.3,357.215,-78.395,3.987,3.957,30.444,28.254,29.063,357.215,-78.395,3.969,8.049,61.446
2022-03-19 06:05:18,2.0,368607.363,361.138,-80.708,4.022,3.992,30.0,27.172,28.569,361.138,-80.708,4.012,7.513,56.944
2022-03-19 06:41:28,2.0,236697.0,359.634,-81.476,4.01,3.979,29.955,27.008,28.073,359.634,-81.476,3.996,7.771,59.305
2022-03-23 17:32:18,2.0,370295.4,359.185,-84.708,4.003,3.972,34.553,30.382,32.875,359.185,-84.708,3.99,7.524,57.436
2022-03-23 17:57:18,2.573,363929.0,354.739,-78.054,3.958,3.929,28.4,25.22,27.133,354.739,-78.054,3.941,7.655,64.881
2022-03-24 00:15:08,2.0,235064.6,357.759,-78.009,3.988,3.955,30.207,27.514,28.891,357.759,-78.009,3.976,7.981,60.274
2022-03-24 02:04:48,2.0,268755.9,357.984,-87.72,3.991,3.956,30.359,27.656,29.142,357.984,-87.72,3.977,8.001,61.925
2022-03-24 02:19:08,2.0,304250.8,358.042,-85.164,3.991,3.959,31.273,28.098,29.917,358.042,-85.164,3.977,7.576,62.006
2022-03-24 03:37:28,2.0,209580.1,359.298,-86.256,4.006,3.974,31.024,28.048,29.132,359.298,-86.256,3.992,7.79,58.951
2022-03-24 04:21:58,2.0,308401.5,358.705,-83.07,4.002,3.962,30.636,28.023,29.409,358.705,-83.07,3.988,7.717,60.469
2022-03-24 04:49:28,2.0,315325.6,359.309,-86.282,4.008,3.975,35.26,29.911,33.248,359.309,-86.282,3.993,7.81,58.498
2022-03-24 05:52:28,2.0,370517.7,360.276,-82.968,4.016,3.983,35.266,30.927,33.396,360.276,-82.968,4.002,7.517,56.709
2022-03-24 06:26:18,3.0,364145.0,357.6,-79.361,3.991,3.96,35.252,30.867,33.665,357.6,-79.361,3.972,7.623,59.121
2022-03-24 15:17:18,2.0,132108.7,358.732,-88.673,3.996,3.952,30.89,28.402,29.812,358.732,-88.673,3.987,7.535,62.092
2022-03-24 15:24:18,2.0,304402.3,358.222,-82.617,3.994,3.961,28.462,25.892,27.311,358.222,-82.617,3.979,7.536,59.731
2022-03-24 16:31:28,2.0,209775.3,358.326,-87.605,3.995,3.963,30.594,27.836,28.975,358.326,-87.605,3.981,7.564,61.828
2022-03-24 16:57:38,2.0,315497.4,357.708,-87.311,3.989,3.959,29.221,26.435,27.893,357.708,-87.311,3.976,7.792,63.078
2022-03-24 17:21:08,2.0,370707.7,360.681,-81.549,4.018,3.987,30.903,28.194,29.499,360.681,-81.549,4.007,7.595,55.731
2022-03-24 17:32:28,2.0,253999.3,360.078,-83.559,4.016,3.984,30.992,27.92,29.48,360.078,-83.559,4.0,7.592,57.571
2022-03-24 18:53:48,2.0,97100.1,356.954,-84.719,3.973,3.931,29.483,25.667,27.551,356.954,-84.719,3.965,7.517,56.045
2022-03-24 19:01:38,2.343,364345.3,356.793,-78.136,3.982,3.952,30.343,27.804,29.231,356.793,-78.136,3.964,7.792,61.677
2022-03-25 01:29:28,2.0,269033.8,357.77,-86.828,3.988,3.954,29.165,26.402,27.643,357.77,-86.828,3.975,7.774,61.134
2022-03-25 02:35:58,2.0,304625.2,359.285,-83.403,4.006,3.973,30.023,27.273,28.745,359.285,-83.403,3.991,7.548,58.862
2022-03-25 04:55:58,2.0,315711.8,360.064,-84.235,4.016,3.984,30.736,28.096,29.54,360.064,-84.235,4.001,7.714,58.027
2022-03-25 05:23:38,2.605,364558.2,355.737,-80.422,3.97,3.94,29.612,26.973,28.524,355.737,-80.422,3.952,7.66,65.281
2022-03-25 05:58:28,2.0,254281.3,358.875,-85.882,4.002,3.97,30.913,27.504,29.372,358.875,-85.882,3.986,7.501,60.129
2022-03-25 06:08:28,2.0,308824.7,358.78,-83.159,4.002,3.963,30.578,28.164,29.172,358.78,-83.159,3.989,7.633,58.794
2022-03-25 06:11:28,2.0,370931.4,361.975,-79.28,4.033,4.002,30.648,28.295,29.519,361.975,-79.28,4.021,7.388,53.286
2022-03-25 21:34:38,2.0,97399.5,360.011,-79.717,4.007,3.964,29.991,27.132,28.326,360.011,-79.717,4.0,7.499,46.508
2022-03-27 04:18:48,2.0,305544.3,369.417,-51.692,4.12,4.087,29.917,27.167,28.668,369.417,-51.692,4.106,7.267,6.449
2022-03-27 05:05:28,2.0,316660.0,359.842,-84.346,4.013,3.982,29.328,26.912,28.064,359.842,-84.346,3.999,7.716,58.113
2022-03-27 05:15:08,1.992,322481.9,360.886,-81.06,4.022,3.988,31.88,29.032,30.166,360.886,-81.06,4.008,7.419,55.843
2022-03-27 05:18:58,2.0,309130.6,356.704,-84.687,3.978,3.941,30.036,27.642,28.59,356.704,-84.687,3.967,7.381,64.056
2022-03-27 06:00:28,1.984,255400.5,359.058,-85.291,4.004,3.973,31.183,28.111,29.605,359.058,-85.291,3.989,7.502,59.248
